<< TD learning for game 2048 >>
[hyper-parameter] alpha = 0.1
[hyper-parameter] total = 1000000
[hyper-parameter] seed  = 3468832465
	512	98.3%	(13.2%)
	1024	85.1%	(43.4%)
	2048	41.7%	(41.1%)
	4096	0.6%	(0.6%)
21000	mean = 21816	max = 61180
	64	100%	(0.1%)
	128	99.9%	(0.2%)
	256	99.7%	(1.9%)
	512	97.8%	(11.6%)
	1024	86.2%	(44%)
	2048	42.2%	(40.5%)
	4096	1.7%	(1.7%)
22000	mean = 21836.1	max = 65456
	256	100%	(1.2%)
	512	98.8%	(11.1%)
	1024	87.7%	(46.4%)
	2048	41.3%	(40.4%)
	4096	0.9%	(0.9%)
23000	mean = 22308.7	max = 69788
	256	100%	(1.7%)
	512	98.3%	(11.2%)
	1024	87.1%	(43.9%)
	2048	43.2%	(41.4%)
	4096	1.8%	(1.8%)
24000	mean = 21806.8	max = 58736
	64	100%	(0.1%)
	128	99.9%	(0.4%)
	256	99.5%	(1.7%)
	512	97.8%	(13.8%)
	1024	84%	(40.4%)
	2048	43.6%	(42.5%)
	4096	1.1%	(1.1%)
25000	mean = 22931.6	max = 61424
	64	100%	(0.2%)
	128	99.8%	(0.3%)
	256	99.5%	(1.2%)
	512	98.3%	(12.2%)
	1024	86.1%	(37.9%)
	2048	48.2%	(46.3%)
	4096	1.9%	(1.9%)
26000	mean = 23399.4	max = 64148
	64	100%	(0.2%)
	128	99.8%	(0.4%)
	256	99.4%	(2.3%)
	512	97.1%	(10.7%)
	1024	86.4%	(38%)
	2048	48.4%	(46.5%)
	4096	1.9%	(1.9%)
27000	mean = 24028.8	max = 62672
	128	100%	(0.4%)
	256	99.6%	(1.4%)
	512	98.2%	(9.6%)
	1024	88.6%	(39.3%)
	2048	49.3%	(46.4%)
	4096	2.9%	(2.9%)
28000	mean = 24502.6	max = 66712
	256	100%	(1.5%)
	512	98.5%	(9.1%)
	1024	89.4%	(39.1%)
	2048	50.3%	(47.4%)
	4096	2.9%	(2.9%)
29000	mean = 23267	max = 67948
	64	100%	(0.2%)
	128	99.8%	(0.3%)
	256	99.5%	(1.8%)
	512	97.7%	(9.7%)
	1024	88%	(40.2%)
	2048	47.8%	(45.7%)
	4096	2.1%	(2.1%)
30000	mean = 24953.4	max = 71640
	64	100%	(0.1%)
	128	99.9%	(0.1%)
	256	99.8%	(1.2%)
	512	98.6%	(8.5%)
	1024	90.1%	(37.2%)
	2048	52.9%	(49.2%)
	4096	3.7%	(3.7%)
31000	mean = 25656.8	max = 72256
	128	100%	(0.2%)
	256	99.8%	(1.2%)
	512	98.6%	(8.7%)
	1024	89.9%	(32.5%)
	2048	57.4%	(54.6%)
	4096	2.8%	(2.8%)
32000	mean = 25303.6	max = 67096
	128	100%	(0.3%)
	256	99.7%	(1.3%)
	512	98.4%	(9.9%)
	1024	88.5%	(33.3%)
	2048	55.2%	(51.7%)
	4096	3.5%	(3.5%)
33000	mean = 25709.6	max = 65424
	64	100%	(0.1%)
	128	99.9%	(0.2%)
	256	99.7%	(1.5%)
	512	98.2%	(10.1%)
	1024	88.1%	(32.3%)
	2048	55.8%	(50.9%)
	4096	4.9%	(4.9%)
34000	mean = 26597.6	max = 70880
	256	100%	(0.8%)
	512	99.2%	(7.1%)
	1024	92.1%	(31.8%)
	2048	60.3%	(56.2%)
	4096	4.1%	(4.1%)
35000	mean = 26917.1	max = 67616
	128	100%	(0.2%)
	256	99.8%	(1.4%)
	512	98.4%	(8%)
	1024	90.4%	(29.8%)
	2048	60.6%	(55.6%)
	4096	5%	(5%)
36000	mean = 26532.6	max = 73028
	128	100%	(0.1%)
	256	99.9%	(0.9%)
	512	99%	(8.4%)
	1024	90.6%	(32.4%)
	2048	58.2%	(52.8%)
	4096	5.4%	(5.4%)
37000	mean = 26949	max = 76652
	128	100%	(0.1%)
	256	99.9%	(1.1%)
	512	98.8%	(6.4%)
	1024	92.4%	(29.9%)
	2048	62.5%	(58.9%)
	4096	3.6%	(3.6%)
38000	mean = 27090.7	max = 80936
	128	100%	(0.2%)
	256	99.8%	(0.8%)
	512	99%	(7.1%)
	1024	91.9%	(31.5%)
	2048	60.4%	(55.7%)
	4096	4.7%	(4.7%)
39000	mean = 26480	max = 73316
	128	100%	(0.2%)
	256	99.8%	(1.2%)
	512	98.6%	(7.9%)
	1024	90.7%	(32.4%)
	2048	58.3%	(54.3%)
	4096	4%	(4%)
40000	mean = 27603	max = 71764
	64	100%	(0.1%)
	256	99.9%	(1.2%)
	512	98.7%	(8%)
	1024	90.7%	(27.4%)
	2048	63.3%	(57%)
	4096	6.3%	(6.3%)
41000	mean = 28037.2	max = 79376
	128	100%	(0.1%)
	256	99.9%	(1%)
	512	98.9%	(7.1%)
	1024	91.8%	(27.8%)
	2048	64%	(58.6%)
	4096	5.4%	(5.4%)
42000	mean = 28134.4	max = 78984
	64	100%	(0.1%)
	128	99.9%	(0.2%)
	256	99.7%	(1.1%)
	512	98.6%	(6.3%)
	1024	92.3%	(27%)
	2048	65.3%	(60%)
	4096	5.3%	(5.3%)
43000	mean = 27605.7	max = 76296
	128	100%	(0.1%)
	256	99.9%	(1.2%)
	512	98.7%	(7.3%)
	1024	91.4%	(27.1%)
	2048	64.3%	(59.2%)
	4096	5.1%	(5.1%)
44000	mean = 28224.2	max = 76440
	256	100%	(0.9%)
	512	99.1%	(6%)
	1024	93.1%	(29.1%)
	2048	64%	(58.7%)
	4096	5.3%	(5.3%)
45000	mean = 28870	max = 80924
	64	100%	(0.1%)
	128	99.9%	(0.1%)
	256	99.8%	(1%)
	512	98.8%	(6.5%)
	1024	92.3%	(24.7%)
	2048	67.6%	(61.4%)
	4096	6.2%	(6.2%)
46000	mean = 29244.3	max = 79784
	256	100%	(0.8%)
	512	99.2%	(5.5%)
	1024	93.7%	(27.1%)
	2048	66.6%	(58.1%)
	4096	8.5%	(8.5%)
47000	mean = 28463.7	max = 78532
	128	100%	(0.4%)
	256	99.6%	(0.7%)
	512	98.9%	(6.4%)
	1024	92.5%	(26.8%)
	2048	65.7%	(59.2%)
	4096	6.5%	(6.5%)
48000	mean = 29255.5	max = 92604
	64	100%	(0.2%)
	128	99.8%	(0.1%)
	256	99.7%	(0.6%)
	512	99.1%	(6%)
	1024	93.1%	(26.8%)
	2048	66.3%	(58.1%)
	4096	8.2%	(8.2%)
49000	mean = 29437.6	max = 83488
	256	100%	(0.6%)
	512	99.4%	(5.1%)
	1024	94.3%	(26.5%)
	2048	67.8%	(59.5%)
	4096	8.3%	(8.3%)
50000	mean = 30204.1	max = 81096
	128	100%	(0.2%)
	256	99.8%	(0.3%)
	512	99.5%	(5%)
	1024	94.5%	(27.3%)
	2048	67.2%	(56.3%)
	4096	10.9%	(10.9%)
51000	mean = 29505.8	max = 77492
	64	100%	(0.1%)
	256	99.9%	(1.2%)
	512	98.7%	(6.3%)
	1024	92.4%	(26.5%)
	2048	65.9%	(55.7%)
	4096	10.2%	(10.2%)
52000	mean = 30062.1	max = 101236
	256	100%	(1.1%)
	512	98.9%	(5.6%)
	1024	93.3%	(23.8%)
	2048	69.5%	(59.8%)
	4096	9.7%	(9.5%)
	8192	0.2%	(0.2%)
53000	mean = 30017.4	max = 107604
	64	100%	(0.1%)
	128	99.9%	(0.1%)
	256	99.8%	(0.8%)
	512	99%	(6.6%)
	1024	92.4%	(23.8%)
	2048	68.6%	(59.4%)
	4096	9.2%	(9%)
	8192	0.2%	(0.2%)
54000	mean = 30856.2	max = 79056
	256	100%	(0.5%)
	512	99.5%	(6.8%)
	1024	92.7%	(22.8%)
	2048	69.9%	(57.2%)
	4096	12.7%	(12.7%)
55000	mean = 29986.3	max = 89012
	64	100%	(0.1%)
	256	99.9%	(0.8%)
	512	99.1%	(6.8%)
	1024	92.3%	(24.9%)
	2048	67.4%	(56.8%)
	4096	10.6%	(10.6%)
56000	mean = 31158.5	max = 83928
	128	100%	(0.1%)
	256	99.9%	(0.9%)
	512	99%	(6.6%)
	1024	92.4%	(22.2%)
	2048	70.2%	(57.5%)
	4096	12.7%	(12.7%)
57000	mean = 31540.2	max = 81684
	64	100%	(0.1%)
	256	99.9%	(0.4%)
	512	99.5%	(5.1%)
	1024	94.4%	(23.1%)
	2048	71.3%	(58.1%)
	4096	13.2%	(13.2%)
58000	mean = 31639.6	max = 104332
	256	100%	(0.6%)
	512	99.4%	(5.7%)
	1024	93.7%	(22.9%)
	2048	70.8%	(57.1%)
	4096	13.7%	(13.6%)
	8192	0.1%	(0.1%)
59000	mean = 31271	max = 83952
	64	100%	(0.1%)
	128	99.9%	(0.2%)
	256	99.7%	(0.5%)
	512	99.2%	(5.4%)
	1024	93.8%	(24.2%)
	2048	69.6%	(56.4%)
	4096	13.2%	(13.2%)
60000	mean = 31559.8	max = 80236
	128	100%	(0.1%)
	256	99.9%	(0.6%)
	512	99.3%	(5.4%)
	1024	93.9%	(22.6%)
	2048	71.3%	(58.1%)
	4096	13.2%	(13.2%)
61000	mean = 31658.4	max = 81144
	128	100%	(0.1%)
	256	99.9%	(0.5%)
	512	99.4%	(6.2%)
	1024	93.2%	(21.8%)
	2048	71.4%	(57.4%)
	4096	14%	(14%)
62000	mean = 32216	max = 84768
	256	100%	(1.4%)
	512	98.6%	(4.8%)
	1024	93.8%	(21.6%)
	2048	72.2%	(57.7%)
	4096	14.5%	(14.5%)
63000	mean = 31333.6	max = 98488
	64	100%	(0.3%)
	128	99.7%	(0.1%)
	256	99.6%	(1.3%)
	512	98.3%	(6%)
	1024	92.3%	(23.8%)
	2048	68.5%	(54%)
	4096	14.5%	(14.4%)
	8192	0.1%	(0.1%)
64000	mean = 32546.9	max = 106980
	256	100%	(0.3%)
	512	99.7%	(4.5%)
	1024	95.2%	(23.5%)
	2048	71.7%	(56.5%)
	4096	15.2%	(15.1%)
	8192	0.1%	(0.1%)
65000	mean = 32005	max = 101428
	64	100%	(0.1%)
	128	99.9%	(0.1%)
	256	99.8%	(0.9%)
	512	98.9%	(5.2%)
	1024	93.7%	(22.1%)
	2048	71.6%	(56.8%)
	4096	14.8%	(14.7%)
	8192	0.1%	(0.1%)
66000	mean = 33917.3	max = 109808
	64	100%	(0.2%)
	256	99.8%	(0.8%)
	512	99%	(3.7%)
	1024	95.3%	(20.8%)
	2048	74.5%	(57%)
	4096	17.5%	(17.4%)
	8192	0.1%	(0.1%)
67000	mean = 32409	max = 124288
	64	100%	(0.2%)
	128	99.8%	(0.1%)
	256	99.7%	(0.7%)
	512	99%	(5.3%)
	1024	93.7%	(23.2%)
	2048	70.5%	(54.4%)
	4096	16.1%	(15.8%)
	8192	0.3%	(0.3%)
68000	mean = 33683.4	max = 98328
	64	100%	(0.1%)
	256	99.9%	(0.5%)
	512	99.4%	(5.1%)
	1024	94.3%	(20.6%)
	2048	73.7%	(54.7%)
	4096	19%	(19%)
69000	mean = 33863.5	max = 112952
	128	100%	(0.1%)
	256	99.9%	(0.7%)
	512	99.2%	(4.9%)
	1024	94.3%	(19.8%)
	2048	74.5%	(57.4%)
	4096	17.1%	(16.9%)
	8192	0.2%	(0.2%)
70000	mean = 32914.4	max = 105684
	128	100%	(0.4%)
	256	99.6%	(1%)
	512	98.6%	(5%)
	1024	93.6%	(21.9%)
	2048	71.7%	(55.2%)
	4096	16.5%	(16.3%)
	8192	0.2%	(0.2%)
71000	mean = 33986.4	max = 115392
	256	100%	(0.8%)
	512	99.2%	(4.3%)
	1024	94.9%	(20.7%)
	2048	74.2%	(56%)
	4096	18.2%	(17.7%)
	8192	0.5%	(0.5%)
72000	mean = 34385.7	max = 89136
	128	100%	(0.1%)
	256	99.9%	(0.5%)
	512	99.4%	(4.5%)
	1024	94.9%	(20%)
	2048	74.9%	(55.3%)
	4096	19.6%	(19.6%)
73000	mean = 33919.5	max = 89736
	32	100%	(0.1%)
	256	99.9%	(0.6%)
	512	99.3%	(4.2%)
	1024	95.1%	(20.4%)
	2048	74.7%	(55.5%)
	4096	19.2%	(19.2%)
74000	mean = 35304.3	max = 101272
	64	100%	(0.1%)
	128	99.9%	(0.1%)
	256	99.8%	(0.8%)
	512	99%	(4.5%)
	1024	94.5%	(18.2%)
	2048	76.3%	(53.7%)
	4096	22.6%	(22.3%)
	8192	0.3%	(0.3%)
75000	mean = 35054.6	max = 102476
	256	100%	(0.8%)
	512	99.2%	(3.9%)
	1024	95.3%	(17.7%)
	2048	77.6%	(56.6%)
	4096	21%	(20.9%)
	8192	0.1%	(0.1%)
76000	mean = 35210.4	max = 87432
	64	100%	(0.1%)
	128	99.9%	(0.1%)
	256	99.8%	(0.4%)
	512	99.4%	(4.7%)
	1024	94.7%	(20.8%)
	2048	73.9%	(52.4%)
	4096	21.5%	(21.5%)
77000	mean = 35714.2	max = 122224
	256	100%	(0.7%)
	512	99.3%	(4.2%)
	1024	95.1%	(18.7%)
	2048	76.4%	(52.8%)
	4096	23.6%	(23.3%)
	8192	0.3%	(0.3%)
78000	mean = 36117.7	max = 103972
	64	100%	(0.4%)
	128	99.6%	(0.2%)
	256	99.4%	(1.1%)
	512	98.3%	(3.7%)
	1024	94.6%	(16.6%)
	2048	78%	(55.3%)
	4096	22.7%	(22.5%)
	8192	0.2%	(0.2%)
79000	mean = 35570.8	max = 110640
	256	100%	(0.9%)
	512	99.1%	(4.2%)
	1024	94.9%	(20.5%)
	2048	74.4%	(50.9%)
	4096	23.5%	(23.3%)
	8192	0.2%	(0.2%)
80000	mean = 36024.7	max = 113992
	64	100%	(0.2%)
	128	99.8%	(0.2%)
	256	99.6%	(0.3%)
	512	99.3%	(3.7%)
	1024	95.6%	(19.5%)
	2048	76.1%	(53.1%)
	4096	23%	(22.7%)
	8192	0.3%	(0.3%)
81000	mean = 35572.5	max = 112692
	64	100%	(0.2%)
	256	99.8%	(0.1%)
	512	99.7%	(5.5%)
	1024	94.2%	(19.2%)
	2048	75%	(53.1%)
	4096	21.9%	(21.6%)
	8192	0.3%	(0.3%)
82000	mean = 36769	max = 133212
	256	100%	(0.6%)
	512	99.4%	(3.6%)
	1024	95.8%	(19.8%)
	2048	76%	(49%)
	4096	27%	(26.8%)
	8192	0.2%	(0.2%)
83000	mean = 36403.9	max = 123448
	64	100%	(0.1%)
	128	99.9%	(0.1%)
	256	99.8%	(0.5%)
	512	99.3%	(3.7%)
	1024	95.6%	(20.2%)
	2048	75.4%	(51.1%)
	4096	24.3%	(23.9%)
	8192	0.4%	(0.4%)
84000	mean = 36765.9	max = 120320
	64	100%	(0.1%)
	128	99.9%	(0.1%)
	256	99.8%	(0.7%)
	512	99.1%	(3.3%)
	1024	95.8%	(18.9%)
	2048	76.9%	(51.3%)
	4096	25.6%	(25.5%)
	8192	0.1%	(0.1%)
85000	mean = 37231	max = 119768
	64	100%	(0.1%)
	128	99.9%	(0.2%)
	256	99.7%	(0.5%)
	512	99.2%	(5%)
	1024	94.2%	(14.6%)
	2048	79.6%	(53.9%)
	4096	25.7%	(25.6%)
	8192	0.1%	(0.1%)
86000	mean = 38288.5	max = 112296
	32	100%	(0.1%)
	128	99.9%	(0.1%)
	256	99.8%	(0.2%)
	512	99.6%	(3.1%)
	1024	96.5%	(17.1%)
	2048	79.4%	(51.4%)
	4096	28%	(27.8%)
	8192	0.2%	(0.2%)
87000	mean = 38035.3	max = 117616
	128	100%	(0.2%)
	256	99.8%	(0.3%)
	512	99.5%	(3.2%)
	1024	96.3%	(17.3%)
	2048	79%	(52%)
	4096	27%	(26.4%)
	8192	0.6%	(0.6%)
88000	mean = 36625.6	max = 132280
	64	100%	(0.1%)
	128	99.9%	(0.2%)
	256	99.7%	(0.7%)
	512	99%	(4.9%)
	1024	94.1%	(16.9%)
	2048	77.2%	(53.2%)
	4096	24%	(23.6%)
	8192	0.4%	(0.4%)
89000	mean = 37933.7	max = 127408
	128	100%	(0.1%)
	256	99.9%	(0.7%)
	512	99.2%	(3%)
	1024	96.2%	(15.8%)
	2048	80.4%	(54.2%)
	4096	26.2%	(26.1%)
	8192	0.1%	(0.1%)
90000	mean = 37386	max = 101352
	64	100%	(0.1%)
	128	99.9%	(0.1%)
	256	99.8%	(0.8%)
	512	99%	(5%)
	1024	94%	(15.9%)
	2048	78.1%	(52.2%)
	4096	25.9%	(25.6%)
	8192	0.3%	(0.3%)
91000	mean = 37357.1	max = 92372
	64	100%	(0.1%)
	256	99.9%	(0.4%)
	512	99.5%	(3.3%)
	1024	96.2%	(17.3%)
	2048	78.9%	(55%)
	4096	23.9%	(23.9%)
92000	mean = 38482.9	max = 106656
	256	100%	(0.4%)
	512	99.6%	(2.9%)
	1024	96.7%	(17.9%)
	2048	78.8%	(49.8%)
	4096	29%	(28.6%)
	8192	0.4%	(0.4%)
93000	mean = 39231.8	max = 121072
	256	100%	(0.6%)
	512	99.4%	(3.4%)
	1024	96%	(15%)
	2048	81%	(52.7%)
	4096	28.3%	(27.8%)
	8192	0.5%	(0.5%)
94000	mean = 38223.1	max = 104008
	64	100%	(0.1%)
	256	99.9%	(0.5%)
	512	99.4%	(3.4%)
	1024	96%	(18.4%)
	2048	77.6%	(48.7%)
	4096	28.9%	(28.8%)
	8192	0.1%	(0.1%)
95000	mean = 38131.3	max = 114728
	64	100%	(0.1%)
	128	99.9%	(0.1%)
	256	99.8%	(0.7%)
	512	99.1%	(4.5%)
	1024	94.6%	(17.7%)
	2048	76.9%	(48.8%)
	4096	28.1%	(27.6%)
	8192	0.5%	(0.5%)
96000	mean = 38509	max = 116920
	128	100%	(0.1%)
	256	99.9%	(0.7%)
	512	99.2%	(4.5%)
	1024	94.7%	(15.3%)
	2048	79.4%	(52.4%)
	4096	27%	(26.7%)
	8192	0.3%	(0.3%)
97000	mean = 37805.3	max = 118588
	64	100%	(0.3%)
	128	99.7%	(0.1%)
	256	99.6%	(0.7%)
	512	98.9%	(3.7%)
	1024	95.2%	(17.3%)
	2048	77.9%	(51.1%)
	4096	26.8%	(26.5%)
	8192	0.3%	(0.3%)
98000	mean = 39341.2	max = 114060
	64	100%	(0.1%)
	128	99.9%	(0.4%)
	256	99.5%	(0.4%)
	512	99.1%	(3.8%)
	1024	95.3%	(17.6%)
	2048	77.7%	(46.6%)
	4096	31.1%	(30.7%)
	8192	0.4%	(0.4%)
99000	mean = 39833	max = 133040
	64	100%	(0.1%)
	128	99.9%	(0.1%)
	256	99.8%	(0.6%)
	512	99.2%	(3.1%)
	1024	96.1%	(15.8%)
	2048	80.3%	(49.6%)
	4096	30.7%	(30.3%)
	8192	0.4%	(0.4%)
100000	mean = 39192.3	max = 115488
	256	100%	(0.7%)
	512	99.3%	(3.8%)
	1024	95.5%	(15.8%)
	2048	79.7%	(49.6%)
	4096	30.1%	(29.6%)
	8192	0.5%	(0.5%)
101000	mean = 41362.9	max = 142436
	128	100%	(0.1%)
	256	99.9%	(0.9%)
	512	99%	(3%)
	1024	96%	(14.8%)
	2048	81.2%	(45.9%)
	4096	35.3%	(34.7%)
	8192	0.6%	(0.6%)
102000	mean = 40696.2	max = 104428
	128	100%	(0.1%)
	256	99.9%	(0.6%)
	512	99.3%	(4.8%)
	1024	94.5%	(14.4%)
	2048	80.1%	(47%)
	4096	33.1%	(32.9%)
	8192	0.2%	(0.2%)
103000	mean = 40813	max = 117124
	128	100%	(0.1%)
	256	99.9%	(0.4%)
	512	99.5%	(3.8%)
	1024	95.7%	(14.7%)
	2048	81%	(48.5%)
	4096	32.5%	(32.2%)
	8192	0.3%	(0.3%)
104000	mean = 41084	max = 133600
	64	100%	(0.1%)
	256	99.9%	(0.6%)
	512	99.3%	(3.2%)
	1024	96.1%	(13.8%)
	2048	82.3%	(49.4%)
	4096	32.9%	(32%)
	8192	0.9%	(0.9%)
105000	mean = 39998.6	max = 120016
	64	100%	(0.2%)
	256	99.8%	(0.7%)
	512	99.1%	(2.6%)
	1024	96.5%	(16.6%)
	2048	79.9%	(49.2%)
	4096	30.7%	(30.4%)
	8192	0.3%	(0.3%)
106000	mean = 41252.7	max = 116836
	128	100%	(0.2%)
	256	99.8%	(1.3%)
	512	98.5%	(3.4%)
	1024	95.1%	(15.1%)
	2048	80%	(44.8%)
	4096	35.2%	(34.6%)
	8192	0.6%	(0.6%)
107000	mean = 41259.8	max = 113712
	64	100%	(0.1%)
	128	99.9%	(0.1%)
	256	99.8%	(0.7%)
	512	99.1%	(3.8%)
	1024	95.3%	(14.7%)
	2048	80.6%	(46.8%)
	4096	33.8%	(33.5%)
	8192	0.3%	(0.3%)
108000	mean = 41567.6	max = 124828
	256	100%	(0.9%)
	512	99.1%	(3.2%)
	1024	95.9%	(12.6%)
	2048	83.3%	(48.9%)
	4096	34.4%	(33.5%)
	8192	0.9%	(0.9%)
109000	mean = 41224.5	max = 122580
	64	100%	(0.1%)
	128	99.9%	(0.2%)
	256	99.7%	(0.7%)
	512	99%	(3.8%)
	1024	95.2%	(17.2%)
	2048	78%	(43.6%)
	4096	34.4%	(33.8%)
	8192	0.6%	(0.6%)
110000	mean = 42412.1	max = 118168
	32	100%	(0.1%)
	64	99.9%	(0.1%)
	256	99.8%	(0.5%)
	512	99.3%	(3%)
	1024	96.3%	(14.5%)
	2048	81.8%	(45.4%)
	4096	36.4%	(35.7%)
	8192	0.7%	(0.7%)
111000	mean = 42330.6	max = 116772
	64	100%	(0.1%)
	256	99.9%	(0.4%)
	512	99.5%	(3%)
	1024	96.5%	(14.2%)
	2048	82.3%	(46%)
	4096	36.3%	(35.5%)
	8192	0.8%	(0.8%)
112000	mean = 43150.2	max = 117384
	64	100%	(0.1%)
	128	99.9%	(0.2%)
	256	99.7%	(1%)
	512	98.7%	(2.5%)
	1024	96.2%	(14.2%)
	2048	82%	(43.9%)
	4096	38.1%	(36.7%)
	8192	1.4%	(1.4%)
113000	mean = 42883.7	max = 122860
	128	100%	(0.1%)
	256	99.9%	(0.8%)
	512	99.1%	(2.8%)
	1024	96.3%	(14.1%)
	2048	82.2%	(46.4%)
	4096	35.8%	(34.8%)
	8192	1%	(1%)
114000	mean = 43335	max = 119984
	64	100%	(0.1%)
	256	99.9%	(0.7%)
	512	99.2%	(2.6%)
	1024	96.6%	(13.1%)
	2048	83.5%	(46.2%)
	4096	37.3%	(36.4%)
	8192	0.9%	(0.9%)
115000	mean = 44100.9	max = 115316
	128	100%	(0.1%)
	256	99.9%	(0.7%)
	512	99.2%	(2.6%)
	1024	96.6%	(12.8%)
	2048	83.8%	(44%)
	4096	39.8%	(38.5%)
	8192	1.3%	(1.3%)
116000	mean = 43531.3	max = 130540
	256	100%	(0.5%)
	512	99.5%	(2.2%)
	1024	97.3%	(14.3%)
	2048	83%	(44.6%)
	4096	38.4%	(38.1%)
	8192	0.3%	(0.3%)
117000	mean = 42860.9	max = 129060
	128	100%	(0.3%)
	256	99.7%	(0.4%)
	512	99.3%	(3.9%)
	1024	95.4%	(15.3%)
	2048	80.1%	(42%)
	4096	38.1%	(37%)
	8192	1.1%	(1.1%)
118000	mean = 43139.4	max = 125352
	64	100%	(0.1%)
	128	99.9%	(0.3%)
	256	99.6%	(0.4%)
	512	99.2%	(2.5%)
	1024	96.7%	(14.9%)
	2048	81.8%	(44.6%)
	4096	37.2%	(36.2%)
	8192	1%	(1%)
119000	mean = 43098	max = 113000
	256	100%	(0.7%)
	512	99.3%	(2.8%)
	1024	96.5%	(15.6%)
	2048	80.9%	(44.8%)
	4096	36.1%	(35.2%)
	8192	0.9%	(0.9%)
