<< TD learning for game 2048 >>
[hyper-parameter] alpha = 0.1
[hyper-parameter] total = 1000000
[hyper-parameter] seed  = 4191459678
56000	mean = 13507.3	max = 56844
	128	100%	(1.5%)
	256	98.5%	(9.1%)
	512	89.4%	(26.4%)
	1024	63%	(50.4%)
	2048	12.6%	(12.5%)
	4096	0.1%	(0.1%)
57000	mean = 13528.2	max = 36696
	128	100%	(0.8%)
	256	99.2%	(8.9%)
	512	90.3%	(28.1%)
	1024	62.2%	(49.8%)
	2048	12.4%	(12.4%)
58000	mean = 13427.6	max = 49144
	128	100%	(1%)
	256	99%	(8.5%)
	512	90.5%	(27.7%)
	1024	62.8%	(49.9%)
	2048	12.9%	(12.8%)
	4096	0.1%	(0.1%)
59000	mean = 13839.3	max = 49240
	64	100%	(0.1%)
	128	99.9%	(1%)
	256	98.9%	(8.7%)
	512	90.2%	(25.4%)
	1024	64.8%	(51.1%)
	2048	13.7%	(13.6%)
	4096	0.1%	(0.1%)
60000	mean = 13566.2	max = 40132
	128	100%	(0.6%)
	256	99.4%	(7.8%)
	512	91.6%	(29.7%)
	1024	61.9%	(48.9%)
	2048	13%	(13%)
61000	mean = 13948	max = 58440
	64	100%	(0.2%)
	128	99.8%	(0.6%)
	256	99.2%	(7.7%)
	512	91.5%	(27.1%)
	1024	64.4%	(50.7%)
	2048	13.7%	(13.6%)
	4096	0.1%	(0.1%)
62000	mean = 13820.7	max = 51372
	64	100%	(0.1%)
	128	99.9%	(0.5%)
	256	99.4%	(9.7%)
	512	89.7%	(26.8%)
	1024	62.9%	(47.6%)
	2048	15.3%	(15.2%)
	4096	0.1%	(0.1%)
63000	mean = 13829.4	max = 47668
	128	100%	(1.1%)
	256	98.9%	(9%)
	512	89.9%	(25.4%)
	1024	64.5%	(50.3%)
	2048	14.2%	(14.1%)
	4096	0.1%	(0.1%)
64000	mean = 14216.1	max = 54708
	128	100%	(1.1%)
	256	98.9%	(7.1%)
	512	91.8%	(24.3%)
	1024	67.5%	(52.4%)
	2048	15.1%	(14.9%)
	4096	0.2%	(0.2%)
65000	mean = 14108.5	max = 37636
	64	100%	(0.1%)
	128	99.9%	(0.8%)
	256	99.1%	(9.3%)
	512	89.8%	(24.7%)
	1024	65.1%	(49.5%)
	2048	15.6%	(15.6%)
66000	mean = 14446.1	max = 37804
	128	100%	(1.1%)
	256	98.9%	(7.6%)
	512	91.3%	(25.7%)
	1024	65.6%	(48.5%)
	2048	17.1%	(17.1%)
67000	mean = 14579.2	max = 54688
	64	100%	(0.2%)
	128	99.8%	(0.6%)
	256	99.2%	(8.4%)
	512	90.8%	(23%)
	1024	67.8%	(50.2%)
	2048	17.6%	(17.5%)
	4096	0.1%	(0.1%)
68000	mean = 15065.5	max = 36736
	128	100%	(1.1%)
	256	98.9%	(6.6%)
	512	92.3%	(21%)
	1024	71.3%	(52.9%)
	2048	18.4%	(18.4%)
69000	mean = 14630.4	max = 38820
	32	100%	(0.1%)
	64	99.9%	(0.1%)
	128	99.8%	(1.2%)
	256	98.6%	(8%)
	512	90.6%	(24.3%)
	1024	66.3%	(48.2%)
	2048	18.1%	(18.1%)
70000	mean = 14554.1	max = 57952
	64	100%	(0.1%)
	128	99.9%	(1.3%)
	256	98.6%	(6.8%)
	512	91.8%	(25.3%)
	1024	66.5%	(48.7%)
	2048	17.8%	(17.6%)
	4096	0.2%	(0.2%)
71000	mean = 15065.5	max = 50864
	32	100%	(0.1%)
	64	99.9%	(0.2%)
	128	99.7%	(1.3%)
	256	98.4%	(7%)
	512	91.4%	(21.8%)
	1024	69.6%	(50.1%)
	2048	19.5%	(19.4%)
	4096	0.1%	(0.1%)
72000	mean = 15145.5	max = 58028
	128	100%	(0.6%)
	256	99.4%	(7.4%)
	512	92%	(22.9%)
	1024	69.1%	(48.8%)
	2048	20.3%	(20.1%)
	4096	0.2%	(0.2%)
73000	mean = 14855.2	max = 39404
	128	100%	(0.7%)
	256	99.3%	(6%)
	512	93.3%	(24.1%)
	1024	69.2%	(52.1%)
	2048	17.1%	(17.1%)
74000	mean = 14849.8	max = 52004
	64	100%	(0.1%)
	128	99.9%	(1.1%)
	256	98.8%	(7%)
	512	91.8%	(24.5%)
	1024	67.3%	(48.8%)
	2048	18.5%	(18.1%)
	4096	0.4%	(0.4%)
75000	mean = 15354.5	max = 60448
	64	100%	(0.1%)
	128	99.9%	(0.9%)
	256	99%	(6.5%)
	512	92.5%	(21.9%)
	1024	70.6%	(51.1%)
	2048	19.5%	(19.4%)
	4096	0.1%	(0.1%)
76000	mean = 15532.4	max = 53912
	128	100%	(1.3%)
	256	98.7%	(6.5%)
	512	92.2%	(23.5%)
	1024	68.7%	(47.8%)
	2048	20.9%	(20.7%)
	4096	0.2%	(0.2%)
77000	mean = 15593.2	max = 54724
	64	100%	(0.1%)
	128	99.9%	(0.4%)
	256	99.5%	(6.5%)
	512	93%	(22.8%)
	1024	70.2%	(48.2%)
	2048	22%	(21.7%)
	4096	0.3%	(0.3%)
78000	mean = 15578.4	max = 58768
	128	100%	(0.7%)
	256	99.3%	(6%)
	512	93.3%	(24.5%)
	1024	68.8%	(47.4%)
	2048	21.4%	(20.9%)
	4096	0.5%	(0.5%)
79000	mean = 15378.3	max = 54664
	64	100%	(0.1%)
	128	99.9%	(0.9%)
	256	99%	(6.7%)
	512	92.3%	(22.2%)
	1024	70.1%	(50%)
	2048	20.1%	(19.7%)
	4096	0.4%	(0.4%)
80000	mean = 15359	max = 56428
	128	100%	(1.1%)
	256	98.9%	(7.1%)
	512	91.8%	(22.8%)
	1024	69%	(48%)
	2048	21%	(20.8%)
	4096	0.2%	(0.2%)
81000	mean = 15197.8	max = 59556
	128	100%	(0.8%)
	256	99.2%	(6.9%)
	512	92.3%	(24.3%)
	1024	68%	(48.5%)
	2048	19.5%	(19.2%)
	4096	0.3%	(0.3%)
82000	mean = 15573.7	max = 56436
	128	100%	(0.9%)
	256	99.1%	(7.5%)
	512	91.6%	(22.3%)
	1024	69.3%	(47%)
	2048	22.3%	(21.8%)
	4096	0.5%	(0.5%)
83000	mean = 16334.4	max = 55696
	32	100%	(0.1%)
	128	99.9%	(0.8%)
	256	99.1%	(6.4%)
	512	92.7%	(21.2%)
	1024	71.5%	(46.7%)
	2048	24.8%	(24.3%)
	4096	0.5%	(0.5%)
84000	mean = 15978.4	max = 54152
	128	100%	(1.2%)
	256	98.8%	(6.4%)
	512	92.4%	(22.1%)
	1024	70.3%	(47%)
	2048	23.3%	(23.2%)
	4096	0.1%	(0.1%)
85000	mean = 15851	max = 60044
	64	100%	(0.1%)
	128	99.9%	(1.1%)
	256	98.8%	(6.2%)
	512	92.6%	(22.1%)
	1024	70.5%	(48.1%)
	2048	22.4%	(22.3%)
	4096	0.1%	(0.1%)
86000	mean = 16254.7	max = 55384
	64	100%	(0.1%)
	128	99.9%	(0.7%)
	256	99.2%	(7.9%)
	512	91.3%	(20.4%)
	1024	70.9%	(46.1%)
	2048	24.8%	(24.3%)
	4096	0.5%	(0.5%)
87000	mean = 16144.6	max = 48168
	128	100%	(0.8%)
	256	99.2%	(7.4%)
	512	91.8%	(20.1%)
	1024	71.7%	(47.5%)
	2048	24.2%	(24%)
	4096	0.2%	(0.2%)
88000	mean = 16206.4	max = 51700
	64	100%	(0.1%)
	128	99.9%	(0.8%)
	256	99.1%	(6.2%)
	512	92.9%	(21.1%)
	1024	71.8%	(48%)
	2048	23.8%	(23.6%)
	4096	0.2%	(0.2%)
89000	mean = 16181.8	max = 56384
	64	100%	(0.1%)
	128	99.9%	(0.8%)
	256	99.1%	(9%)
	512	90.1%	(18.2%)
	1024	71.9%	(47%)
	2048	24.9%	(24.6%)
	4096	0.3%	(0.3%)
90000	mean = 15955.3	max = 74524
	128	100%	(1.2%)
	256	98.8%	(6.8%)
	512	92%	(22.2%)
	1024	69.8%	(45.5%)
	2048	24.3%	(23.9%)
	4096	0.4%	(0.4%)
91000	mean = 16767.1	max = 57780
	64	100%	(0.2%)
	128	99.8%	(0.8%)
	256	99%	(8.1%)
	512	90.9%	(18.3%)
	1024	72.6%	(45.2%)
	2048	27.4%	(27.1%)
	4096	0.3%	(0.3%)
92000	mean = 16369.6	max = 56464
	64	100%	(0.1%)
	128	99.9%	(0.9%)
	256	99%	(6.6%)
	512	92.4%	(20.3%)
	1024	72.1%	(46.8%)
	2048	25.3%	(24.9%)
	4096	0.4%	(0.4%)
93000	mean = 16910.6	max = 56768
	64	100%	(0.1%)
	128	99.9%	(0.9%)
	256	99%	(6.7%)
	512	92.3%	(18.9%)
	1024	73.4%	(45.7%)
	2048	27.7%	(27%)
	4096	0.7%	(0.7%)
94000	mean = 16448.7	max = 56408
	128	100%	(0.5%)
	256	99.5%	(6.6%)
	512	92.9%	(20.6%)
	1024	72.3%	(47.1%)
	2048	25.2%	(24.6%)
	4096	0.6%	(0.6%)
95000	mean = 16575.1	max = 69188
	128	100%	(1.5%)
	256	98.5%	(6.6%)
	512	91.9%	(20%)
	1024	71.9%	(46.3%)
	2048	25.6%	(25%)
	4096	0.6%	(0.6%)
96000	mean = 16870.1	max = 56668
	128	100%	(0.9%)
	256	99.1%	(5.3%)
	512	93.8%	(20.9%)
	1024	72.9%	(46.6%)
	2048	26.3%	(25.3%)
	4096	1%	(1%)
97000	mean = 16569.5	max = 61576
	128	100%	(0.6%)
	256	99.4%	(7.5%)
	512	91.9%	(21.7%)
	1024	70.2%	(43.7%)
	2048	26.5%	(26.1%)
	4096	0.4%	(0.4%)
98000	mean = 17210.8	max = 60676
	128	100%	(0.8%)
	256	99.2%	(5.6%)
	512	93.6%	(18.6%)
	1024	75%	(47%)
	2048	28%	(27%)
	4096	1%	(1%)
99000	mean = 16892.9	max = 60904
	64	100%	(0.1%)
	128	99.9%	(0.9%)
	256	99%	(5.4%)
	512	93.6%	(21.6%)
	1024	72%	(45%)
	2048	27%	(26.1%)
	4096	0.9%	(0.9%)
100000	mean = 17064.6	max = 54612
	128	100%	(0.5%)
	256	99.5%	(5.7%)
	512	93.8%	(20.7%)
	1024	73.1%	(45%)
	2048	28.1%	(27.5%)
	4096	0.6%	(0.6%)
101000	mean = 16965.4	max = 60592
	128	100%	(0.8%)
	256	99.2%	(5.8%)
	512	93.4%	(22.2%)
	1024	71.2%	(41.9%)
	2048	29.3%	(28.4%)
	4096	0.9%	(0.9%)
102000	mean = 17221.9	max = 54400
	64	100%	(0.1%)
	128	99.9%	(1%)
	256	98.9%	(5.6%)
	512	93.3%	(21.2%)
	1024	72.1%	(42.3%)
	2048	29.8%	(29.1%)
	4096	0.7%	(0.7%)
103000	mean = 17232.5	max = 52076
	64	100%	(0.1%)
	128	99.9%	(1.1%)
	256	98.8%	(5.4%)
	512	93.4%	(19.9%)
	1024	73.5%	(45%)
	2048	28.5%	(27.9%)
	4096	0.6%	(0.6%)
104000	mean = 17586.2	max = 61756
	32	100%	(0.1%)
	128	99.9%	(0.6%)
	256	99.3%	(5.1%)
	512	94.2%	(18.1%)
	1024	76.1%	(46.9%)
	2048	29.2%	(28.3%)
	4096	0.9%	(0.9%)
105000	mean = 17438.9	max = 66740
	128	100%	(0.5%)
	256	99.5%	(6.4%)
	512	93.1%	(20%)
	1024	73.1%	(42.6%)
	2048	30.5%	(29.8%)
	4096	0.7%	(0.7%)
106000	mean = 17500.7	max = 57184
	128	100%	(0.5%)
	256	99.5%	(5.1%)
	512	94.4%	(19.4%)
	1024	75%	(44.8%)
	2048	30.2%	(29.4%)
	4096	0.8%	(0.8%)
107000	mean = 17947.8	max = 63900
	128	100%	(0.4%)
	256	99.6%	(5.1%)
	512	94.5%	(18.6%)
	1024	75.9%	(45.3%)
	2048	30.6%	(29.5%)
	4096	1.1%	(1.1%)
108000	mean = 16862.9	max = 60124
	64	100%	(0.2%)
	128	99.8%	(0.3%)
	256	99.5%	(7.5%)
	512	92%	(18.6%)
	1024	73.4%	(46%)
	2048	27.4%	(26.7%)
	4096	0.7%	(0.7%)
109000	mean = 18188.4	max = 64280
	64	100%	(0.3%)
	128	99.7%	(0.7%)
	256	99%	(5.7%)
	512	93.3%	(17.1%)
	1024	76.2%	(43.2%)
	2048	33%	(32.4%)
	4096	0.6%	(0.6%)
110000	mean = 17338.8	max = 58836
	64	100%	(0.1%)
	128	99.9%	(0.9%)
	256	99%	(6.8%)
	512	92.2%	(19.8%)
	1024	72.4%	(42.3%)
	2048	30.1%	(29.4%)
	4096	0.7%	(0.7%)
111000	mean = 17692	max = 56936
	128	100%	(1.2%)
	256	98.8%	(5.6%)
	512	93.2%	(18.9%)
	1024	74.3%	(42%)
	2048	32.3%	(31.7%)
	4096	0.6%	(0.6%)
112000	mean = 17946.8	max = 60340
	128	100%	(0.6%)
	256	99.4%	(6%)
	512	93.4%	(17.8%)
	1024	75.6%	(44.1%)
	2048	31.5%	(30.3%)
	4096	1.2%	(1.2%)
113000	mean = 18159.1	max = 73864
	64	100%	(0.1%)
	128	99.9%	(1%)
	256	98.9%	(5%)
	512	93.9%	(17.6%)
	1024	76.3%	(43.8%)
	2048	32.5%	(31.1%)
	4096	1.4%	(1.4%)
114000	mean = 18526.2	max = 65832
	128	100%	(0.8%)
	256	99.2%	(5.4%)
	512	93.8%	(17.7%)
	1024	76.1%	(41.6%)
	2048	34.5%	(33.6%)
	4096	0.9%	(0.9%)
115000	mean = 18195.4	max = 60444
	128	100%	(0.9%)
	256	99.1%	(6.1%)
	512	93%	(18.5%)
	1024	74.5%	(41.3%)
	2048	33.2%	(32%)
	4096	1.2%	(1.2%)
116000	mean = 18182.1	max = 60584
	128	100%	(0.6%)
	256	99.4%	(6.3%)
	512	93.1%	(17.3%)
	1024	75.8%	(42.9%)
	2048	32.9%	(31.4%)
	4096	1.5%	(1.5%)
117000	mean = 17777.7	max = 62624
	64	100%	(0.1%)
	128	99.9%	(1.1%)
	256	98.8%	(5.9%)
	512	92.9%	(18.7%)
	1024	74.2%	(42.6%)
	2048	31.6%	(30.6%)
	4096	1%	(1%)
118000	mean = 18156.5	max = 60344
	128	100%	(0.6%)
	256	99.4%	(5.5%)
	512	93.9%	(19.2%)
	1024	74.7%	(40.8%)
	2048	33.9%	(33%)
	4096	0.9%	(0.9%)
119000	mean = 18494	max = 71000
	64	100%	(0.1%)
	128	99.9%	(0.7%)
	256	99.2%	(5.6%)
	512	93.6%	(16.6%)
	1024	77%	(43.7%)
	2048	33.3%	(32.3%)
	4096	1%	(1%)
120000	mean = 18599.6	max = 60152
	32	100%	(0.1%)
	128	99.9%	(0.4%)
	256	99.5%	(5.7%)
	512	93.8%	(17%)
	1024	76.8%	(41.1%)
	2048	35.7%	(34.8%)
	4096	0.9%	(0.9%)
121000	mean = 18421.7	max = 60732
	64	100%	(0.2%)
	128	99.8%	(1.3%)
	256	98.5%	(5.3%)
	512	93.2%	(18.2%)
	1024	75%	(40.8%)
	2048	34.2%	(32.8%)
	4096	1.4%	(1.4%)
122000	mean = 18615	max = 63832
	128	100%	(0.3%)
	256	99.7%	(5.1%)
	512	94.6%	(17.3%)
	1024	77.3%	(43.2%)
	2048	34.1%	(32.5%)
	4096	1.6%	(1.6%)
123000	mean = 18390.7	max = 68252
	32	100%	(0.1%)
	64	99.9%	(0.1%)
	128	99.8%	(0.3%)
	256	99.5%	(7%)
	512	92.5%	(17.6%)
	1024	74.9%	(42.4%)
	2048	32.5%	(30.9%)
	4096	1.6%	(1.6%)
124000	mean = 18340.4	max = 56852
	64	100%	(0.1%)
	128	99.9%	(0.6%)
	256	99.3%	(6%)
	512	93.3%	(16.9%)
	1024	76.4%	(42.6%)
	2048	33.8%	(32.4%)
	4096	1.4%	(1.4%)
125000	mean = 18320.6	max = 55236
	32	100%	(0.1%)
	128	99.9%	(1.3%)
	256	98.6%	(5.7%)
	512	92.9%	(20.5%)
	1024	72.4%	(37.3%)
	2048	35.1%	(33.6%)
	4096	1.5%	(1.5%)
126000	mean = 18799.2	max = 72368
	128	100%	(0.8%)
	256	99.2%	(5.7%)
	512	93.5%	(18.2%)
	1024	75.3%	(39.2%)
	2048	36.1%	(34.5%)
	4096	1.6%	(1.6%)
127000	mean = 18863.5	max = 68472
	64	100%	(0.4%)
	128	99.6%	(0.8%)
	256	98.8%	(6.1%)
	512	92.7%	(16.3%)
	1024	76.4%	(41.9%)
	2048	34.5%	(32.3%)
	4096	2.2%	(2.2%)
128000	mean = 18947.3	max = 60000
	128	100%	(0.7%)
	256	99.3%	(5.8%)
	512	93.5%	(15.6%)
